Total messages: 191 (Errors: 191, Warnings: 0)
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <text> attribute y: Expected length, "NaN". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
[ERROR] Error: <path> attribute d: Expected number, "MNaN,NaNCNaN,NaN,…". @ https://d3js.org/d3.v7.min.js:1
